author_uuid;name;biography;birth_date;death_date;official_website;picture_url
a-0002-0001-0000-000000010101;Joe Abercrombie;Joe Abercrombie (born 1974) is an English fantasy author known for grimdark realism, biting dialogue and flawed antiheroes (The First Law).;1974-12-31;;https://www.joeabercrombie.com;https://upload.wikimedia.org/wikipedia/commons/6/6b/Joe_Abercrombie.jpg
a-0002-0002-0000-000000010102;Michael Moorcock;Michael Moorcock (born 1939) is an English writer of fantasy and SF, noted for the Elric saga and multiverse experiments.;1939-12-18;;https://www.multiverse.org;https://upload.wikimedia.org/wikipedia/commons/3/34/Moorcock_2007.jpg
a-0002-0003-0000-000000010103;Jack Vance;Jack Vance (1916-2013) was an American writer whose ornate prose and baroque fantasy influenced generations.;1916-08-28;2013-05-26;;https://upload.wikimedia.org/wikipedia/commons/5/59/JackVance.jpg
a-0002-0004-0000-000000010104;Poul Anderson;Poul Anderson (1926-2001) was an American SF writer and historian whose work ranged across hard SF and mythic fantasy.;1926-11-25;2001-07-31;;https://upload.wikimedia.org/wikipedia/commons/9/95/Poul_Anderson.jpg
a-0002-0005-0000-000000010105;Stephen R. Donaldson;Stephen R. Donaldson (born 1947) is an American fantasy author best known for The Chronicles of Thomas Covenant—a psychologically intense epic.;1947-05-13;;https://www.stephenrdonaldson.com;https://upload.wikimedia.org/wikipedia/commons/7/70/Stephen_R._Donaldson.jpg
a-0002-0006-0000-000000010106;Peter V. Brett;Peter V. Brett (born 1973) is an American fantasy author whose Demon Cycle mines folklore and human resilience against nocturnal monsters.;1973-02-08;;https://www.petervbrett.com;https://upload.wikimedia.org/wikipedia/commons/1/1a/Peter_V_Brett.jpg
a-0002-0007-0000-000000010107;Lord Dunsany;Edward John Moreton Drax Plunkett, 18th Baron of Dunsany (1878-1957), wrote early modern fantasy and influenced Tolkien and others.;1878-07-24;1957-10-25;;https://upload.wikimedia.org/wikipedia/commons/0/0b/Lord_Dunsany.jpg
a-0002-0008-0000-000000010108;E. R. Eddison;E. R. Eddison (1882-1945) authored The Worm Ouroboros, a high, archaic fantasy admired for its style and heroic tone.;1882-08-26;1945-08-20;;https://upload.wikimedia.org/wikipedia/commons/9/93/E._R._Eddison.jpg
a-0002-0009-0000-000000010109;Various (Mabinogion translators);"The Mabinogion is a medieval Welsh collection compiled from oral and manuscript traditions; modern translators and editors vary."; ; ; ;https://upload.wikimedia.org/wikipedia/commons/9/9b/Mabinogion_cover.jpg
a-0002-000a-0000-000000010110;Andrzej Sapkowski;Andrzej Sapkowski (born 1948) is a Polish fantasy author whose Witcher stories combine Slavic myth, politics and dark humor.;1948-06-21;;https://www.sapko.org;https://upload.wikimedia.org/wikipedia/commons/1/10/Andrzej_Sapkowski.jpg
a-0002-0010-0000-000000010116;Harry Harrison;Harry Harrison (1925-2012) wrote humorous and adventurous SF, including The Stainless Steel Rat series.;1925-03-12;2012-08-15;;https://upload.wikimedia.org/wikipedia/commons/0/0a/Harry_Harrison.jpg
a-0002-0011-0000-000000010117;Terry Pratchett & Stephen Baxter;Terry Pratchett (1948-2015) and Stephen Baxter (born 1957) collaborated on The Long Earth series mixing Pratchett’s wit with Baxter’s speculative reach.;1948-04-28;2015-03-12;;https://upload.wikimedia.org/wikipedia/commons/9/9f/Terry_Pratchett%2C_2006.jpg
a-0002-0012-0000-000000010118;Iain M. Banks;Iain M. Banks (1954-2013) was a Scottish author of both mainstream fiction (as Iain Banks) and space-opera Culture novels (as Iain M. Banks).;1954-02-16;2013-06-09;;https://upload.wikimedia.org/wikipedia/commons/8/8b/Iain_M._Banks.jpg
a-0002-0013-0000-000000010119;Douglas Adams;Douglas Adams (1952-2001) wrote comic SF, especially the Hitchhiker's Guide to the Galaxy series, blending satire and absurdity.;1952-03-11;2001-05-11;;https://upload.wikimedia.org/wikipedia/commons/3/3d/Douglas_adams_portrait.jpg
a-0002-0014-0000-000000010120;Glen Cook;Glen Cook (born 1944) is an American fantasy author known for the gritty, military-focused Black Company novels.;1944-07-09;;https://upload.wikimedia.org/wikipedia/commons/2/2e/Glen_Cook.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Utos109-Glen_Cook.jpg/960px-Utos109-Glen_Cook.jpg
a-0002-0015-0000-000000010121;Lev Grossman;Lev Grossman (born 1969) is an American novelist who wrote The Magicians trilogy — an adult reimagining of magical schooling and mythic stakes.;1969-10-16;;https://upload.wikimedia.org/wikipedia/commons/5/54/Lev_Grossman.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Lev_grossman_2011.jpg/512px-Lev_grossman_2011.jpg
a-0002-0016-0000-000000010122;C. S. Friedman;C. S. Friedman (born 1957) is an American speculative-fiction author whose Coldfire Trilogy blends science fiction concepts with fantasy.;1957-06-04;;https://upload.wikimedia.org/wikipedia/commons/7/72/C_S_Friedman.jpg
a-0002-0017-0000-000000010123;Kate Elliott;Kate Elliott (born 1958) is an American author of large-scale fantasy epics often focused on politics and cultural depth.;1958-11-21;;https://upload.wikimedia.org/wikipedia/commons/6/6d/Kate_Elliott.jpg
a-0002-0018-0000-000000010124;Helene Wecker;Helene Wecker (born 1985) is an American author whose The Golem and the Jinni blends historical fiction with mythic elements.;1985-01-01;;https://upload.wikimedia.org/wikipedia/commons/7/7b/Helene_Wecker.jpg
a-0002-0019-0000-000000010125;Sergei Lukyanenko;Sergei Lukyanenko (born 1968) is a Russian fantasy author known for Night Watch, urban fantasy about surveillance and supernatural law.;1968-04-11;;https://upload.wikimedia.org/wikipedia/commons/2/2c/Sergei_Lukyanenko.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Sergey_Lukyanenko_MOW_03-2011.jpg/960px-Sergey_Lukyanenko_MOW_03-2011.jpg
a-0002-001a-0000-000000010126;Lois Lowry;Lois Lowry (born 1937) is an American author of children’s and YA fiction whose works explore challenging ethical themes (The Giver).;1937-03-20;;https://upload.wikimedia.org/wikipedia/commons/8/8b/Lois_Lowry_2011.jpeg;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Lois_Lowry_2016.jpg/512px-Lois_Lowry_2016.jpg
